round,reward
797,0
798,110.02531438400301
799,0
800,227.85929509545772
801,100
802,50.0
803,100
804,120.49732222810019
805,100
806,50.0
807,205.9386462110507
808,88.47116684106479
809,116.00301267511341
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,50.0
822,0
823,107.48828390528976
824,0
825,186.15432323581277
826,0
827,50.0
828,0
829,50.0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,100
842,267.71280063619315
843,100
844,117.84654485470122
845,100
846,239.70347676238538
847,100
848,100
849,100
850,285.0662094867638
851,0
852,0
853,100
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,100
862,0
863,0
864,0
865,0
866,0
867,0
868,100
869,0
870,100
871,272.7558071713322
872,0
873,100
874,0
875,0
876,117.83184180459389
877,0
878,0
879,100
880,100
881,125.2830831516968
882,0
883,100
884,0
885,100
886,0
887,100
888,0
889,189.6780041602404
890,0
891,100
892,0
893,246.5075299819606
894,0
895,100
896,0
897,198.96642067848322
898,0
899,203.64320526644332
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,100
912,0
913,177.91320848303081
914,0
915,299.5282404990048
916,0
917,112.4507457601286
918,0
919,100
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,100
932,107.01821903787601
933,100.09120972300072
934,100
935,237.08811227152486
936,100
937,178.04233315115295
938,100
939,100
940,0
941,166.4811052184459
942,286.6817514130179
943,243.2514050434547
944,50.0
945,100
946,154.16784608150527
947,124.74791863592168
948,100
949,100
950,100
951,0
952,72.08479988745695
953,0
954,310.4960110058354
955,0
956,0
957,0
958,100
959,0
960,0
961,162.13840440833968
962,0
963,171.95288334657383
964,0
965,100
966,0
967,100
968,0
969,100
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,240.71448554955882
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,100
992,114.88391501751673
993,138.67310931122654
994,0
995,0
996,194.31936623948954
997,0
998,0
999,100
1000,309.81108016399185
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,100
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,159.86921073061342
1022,100
1023,100
1024,100
1025,100
1026,192.28756538909062
1027,152.93276037905298
1028,197.43336564151417
1029,100
1030,0
1031,301.9616607581475
1032,100
1033,100
1034,100
1035,146.2740238675025
1036,100
1037,100
1038,211.13091026050068
1039,50.0
1040,100
1041,100
1042,0
1043,103.93377087652289
1044,0
1045,100
1046,0
1047,100
1048,0
1049,174.6954229710708
1050,0
1051,112.5403635773108
1052,116.43159776922481
1053,111.31334189286771
1054,84.61974078006307
1055,152.3751940789818
1056,74.489917515266
1057,88.19685915417553
1058,50.0
1059,152.44496051981605
1060,87.60385970439148
1061,100
1062,52.22251548669769
1063,50.0
1064,50.0
1065,183.9848225233941
1066,85.52932436150604
1067,316.16301616206715
1068,62.34823748483535
1069,143.26456787281404
1070,0
1071,193.75346970048986
1072,100
1073,100
1074,0
1075,0
1076,100
1077,108.52813168396925
1078,50.0
1079,0
1080,50.0
1081,100
1082,0
1083,100
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,132.52101199755762
1102,0
1103,100
1104,0
1105,100
1106,0
1107,168.2953883443443
1108,0
1109,162.95882865530325
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,121.07715050178595
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,50.0
1132,100
1133,50.0
1134,100
1135,50.0
1136,123.46393992991125
1137,63.47042928901022
1138,165.17772199482067
1139,168.34873181437626
1140,0
1141,72.32377798041179
1142,100
1143,50.0
1144,100
1145,55.020051079864054
1146,100
1147,58.85136382864766
1148,178.08056765420855
1149,50.0
1150,180.20404081229597
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,151.44193537331245
1162,0
1163,79.23271049429239
1164,0
1165,117.45084079338234
1166,0
1167,100
1168,0
1169,50.0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,100
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,204.29695116044738
1193,100
1194,100
1195,184.71962341088147
1196,161.46012709600114
1197,100
1198,100
1199,0
1200,0
1201,312.57558790730775
1202,0
1203,142.94660149482885
1204,0
1205,201.68467048616677
1206,0
1207,100
1208,0
1209,100
1210,0
1211,100
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,100
1222,100
1223,197.85622484161775
1224,171.14837188462184
1225,100
1226,100
1227,276.03695067100983
1228,179.3322013983848
1229,199.01394750901096
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,102.14608476680404
1242,0
1243,0
1244,316.9845595168983
1245,0
1246,0
1247,0
1248,259.1604776915667
1249,0
1250,141.79575565271037
1251,100
1252,100
1253,100
1254,240.41773869729641
1255,131.44589006659152
1256,131.88208875247733
1257,100
1258,260.05228457470434
1259,100
1260,158.16722195606138
1261,230.7494953798603
1262,0
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,100
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,0
1281,0
1282,53.22047226471087
1283,286.9600080421319
1284,0
1285,100
1286,223.91779595372356
1287,110.23512492866122
1288,0
1289,100
1290,0
1291,100
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,100
1312,250.44355794009462
1313,62.50297064653677
1314,100
1315,100
1316,155.80473719561436
1317,100
1318,168.79464995252982
1319,170.60617884557396
1320,116.05889186041183
1321,109.10790545418934
1322,0
1323,64.53101424520948
1324,0
1325,50.0
1326,0
1327,105.5593514015741
1328,0
1329,92.34852331154856
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,0
1340,0
1341,349.387623865199
1342,50.0
1343,130.38106846499653
1344,100
1345,104.09418526678105
1346,100
1347,125.75488858626359
1348,100
1349,100
1350,0
1351,0
1352,223.44223197363758
1353,0
1354,0
1355,0
1356,0
